DATE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,ORG_TYPE,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE,SICKNESS_ABSENCE_RATE_PERCENT
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0AR,NHS North of England Commissioning Support Unit,Commissioning Support Unit,2282.89119,47546.19661,4.8
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0CX,NHS Midlands and Lancashire Commissioning Support Unit,Commissioning Support Unit,1819.76809,44109.51619,4.13
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DE,NHS Arden and Greater East Midlands Commissioning Support Unit,Commissioning Support Unit,874.93341,33191.35405,2.64
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DF,"NHS South, Central and West Commissioning Support Unit",Commissioning Support Unit,1712.60331,52261.94229,3.28
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,8JX76,ENGIE Services Ltd,Others,1077.3604,19642.7822,5.48
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1150,NHS Resolution,Others,669.33337,24016.75644,2.79
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1450,NHS Business Services Authority,Others,5615.86481,150886.63449,3.72
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1460,NHS Blood and Transplant,Others,9654.78811,175064.48718999999,5.51
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1480,Health Research Authority,Others,232.41321,7247.1999,3.21
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1540,NHS Counter Fraud Authority,Others,232.70668,6466.9678,3.6
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X24,NHS England,Others,15580.24978,550070.23716,2.83
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X80,National Institute for Health and Care Excellence,Others,731.6868,23070.7197,3.17
30/11/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,Z1E5K,Health Services Safety Investigations Body,Others,77.85333,1516.2,5.13
30/11/2024,Y56,London,QKK,South East London,DEQ,King's Facilities Management (KFM),Others,147.06666,10367.4,1.42
30/11/2024,Y56,London,QKK,South East London,NQV,Bromley Healthcare,Community Provider Trust,1156.1935,30565.31223,3.78
30/11/2024,Y56,London,QKK,South East London,QKK,NHS South East London ICB,Integrated Care Board,525.58001,20499.50592,2.56
30/11/2024,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute,32661.93322,676140.84926,4.83
30/11/2024,Y56,London,QKK,South East London,RJ2,Lewisham and Greenwich NHS Trust,Acute,10992.16694,213912.05736,5.14
30/11/2024,Y56,London,QKK,South East London,RJZ,King's College Hospital NHS Foundation Trust,Acute,17762.24321,400455.96395,4.44
30/11/2024,Y56,London,QKK,South East London,RPG,Oxleas NHS Foundation Trust,Mental Health,7094.89764,134177.55647,5.29
30/11/2024,Y56,London,QKK,South East London,RRU,London Ambulance Service NHS Trust,Ambulance,19112.44832,244595.75023,7.81
30/11/2024,Y56,London,QKK,South East London,RV5,South London and Maudsley NHS Foundation Trust,Mental Health,8046.09769,182025.66084,4.42
30/11/2024,Y56,London,QMF,North East London,AXA,Tower Hamlets GP Care Group CIC,Community Provider Trust,514.52855,12683.5342,4.06
30/11/2024,Y56,London,QMF,North East London,QMF,NHS North East London ICB,Integrated Care Board,998.1,26974.6131,3.7
30/11/2024,Y56,London,QMF,North East London,R1H,Barts Health NHS Trust,Acute,27362.93778,596393.441,4.59
30/11/2024,Y56,London,QMF,North East London,RAT,North East London NHS Foundation Trust,Mental Health,12231.59993,221784.25643,5.52
30/11/2024,Y56,London,QMF,North East London,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Acute,11496.72014,246588.08671,4.66
30/11/2024,Y56,London,QMF,North East London,RQX,Homerton Healthcare NHS Foundation Trust,Acute,6515.71836,128682.10477,5.06
30/11/2024,Y56,London,QMF,North East London,RWK,East London NHS Foundation Trust,Mental Health,12790.80424,218993.82756,5.84
30/11/2024,Y56,London,QMJ,North Central London,G6V2S,North London NHS Foundation Trust,Mental Health,7434.5279199999995,173357.84379,4.29
