DATE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,ORG_TYPE,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE,SICKNESS_ABSENCE_RATE_PERCENT
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0AR,NHS North of England Commissioning Support Unit,Commissioning Support Unit,1807.2501,48792.88701,3.7
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0CX,NHS Midlands and Lancashire Commissioning Support Unit,Commissioning Support Unit,1566.73332,44996.39689,3.48
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DE,NHS Arden and Greater East Midlands Commissioning Support Unit,Commissioning Support Unit,801.1999,32892.89399,2.44
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DF,"NHS South, Central and West Commissioning Support Unit",Commissioning Support Unit,1921.8528900000001,53088.96838,3.62
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,8JX76,ENGIE Services Ltd,Others,1130.5863900000002,19570.31424,5.78
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1150,NHS Resolution,Others,525.96,23298.24955,2.26
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1450,NHS Business Services Authority,Others,5103.07105,149097.22095,3.42
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1460,NHS Blood and Transplant,Others,8724.10527,173880.61648,5.02
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1480,Health Research Authority,Others,154.0,7291.5598,2.11
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1540,NHS Counter Fraud Authority,Others,253.36667,6041.76765,4.19
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X24,NHS England,Others,14930.31033,551079.78883,2.71
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X80,National Institute for Health and Care Excellence,Others,629.7668,22729.3198,2.77
30/09/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,Z1E5K,Health Services Safety Investigations Body,Others,74.7,1561.6667400000001,4.78
30/09/2024,Y56,London,QKK,South East London,DEQ,King's Facilities Management (KFM),Others,159.85333,10223.8,1.56
30/09/2024,Y56,London,QKK,South East London,NQV,Bromley Healthcare,Community Provider Trust,1237.85153,30616.95715,4.04
30/09/2024,Y56,London,QKK,South East London,QKK,NHS South East London ICB,Integrated Care Board,472.23996,19492.42109,2.42
30/09/2024,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute,30029.45926,668456.39715,4.49
30/09/2024,Y56,London,QKK,South East London,RJ2,Lewisham and Greenwich NHS Trust,Acute,10179.73463,211594.37456,4.81
30/09/2024,Y56,London,QKK,South East London,RJZ,King's College Hospital NHS Foundation Trust,Acute,16650.80883,399413.94744,4.17
30/09/2024,Y56,London,QKK,South East London,RPG,Oxleas NHS Foundation Trust,Mental Health,6496.00944,132300.75756,4.91
30/09/2024,Y56,London,QKK,South East London,RRU,London Ambulance Service NHS Trust,Ambulance,17112.36221,241816.3714,7.08
30/09/2024,Y56,London,QKK,South East London,RV5,South London and Maudsley NHS Foundation Trust,Mental Health,7145.85106,179300.03742,3.99
30/09/2024,Y56,London,QMF,North East London,AXA,Tower Hamlets GP Care Group CIC,Community Provider Trust,369.48368,12267.37526,3.01
30/09/2024,Y56,London,QMF,North East London,QMF,NHS North East London ICB,Integrated Care Board,867.8,25864.94953,3.36
30/09/2024,Y56,London,QMF,North East London,R1H,Barts Health NHS Trust,Acute,25400.8743,590846.85469,4.3
30/09/2024,Y56,London,QMF,North East London,RAT,North East London NHS Foundation Trust,Mental Health,10436.57853,217796.23789,4.79
30/09/2024,Y56,London,QMF,North East London,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Acute,10432.9699,242255.68966,4.31
30/09/2024,Y56,London,QMF,North East London,RQX,Homerton Healthcare NHS Foundation Trust,Acute,6265.17931,126593.97753,4.95
30/09/2024,Y56,London,QMF,North East London,RWK,East London NHS Foundation Trust,Mental Health,11623.0652,219559.4635,5.29
30/09/2024,Y56,London,QMJ,North Central London,QMJ,NHS North Central London ICB,Integrated Care Board,697.33467,17469.0506,3.99
30/09/2024,Y56,London,QMJ,North Central London,RAL,Royal Free London NHS Foundation Trust,Acute,16714.08336,413610.71576,4.04
30/09/2024,Y56,London,QMJ,North Central London,RAP,North Middlesex University Hospital NHS Trust,Acute,6328.28625,140054.24206,4.52
30/09/2024,Y56,London,QMJ,North Central London,RKE,Whittington Health NHS Trust,Acute,6160.36161,146593.9856,4.2
30/09/2024,Y56,London,QMJ,North Central London,RNK,Tavistock and Portman NHS Foundation Trust,Mental Health,563.073,20556.39768,2.74
30/09/2024,Y56,London,QMJ,North Central London,RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,Acute,6570.39745,170476.27158,3.85
30/09/2024,Y56,London,QMJ,North Central London,RP6,Moorfields Eye Hospital NHS Foundation Trust,Acute,3341.67129,73988.56009,4.52
30/09/2024,Y56,London,QMJ,North Central London,RRP,"Barnet, Enfield and Haringey Mental Health NHS Trust",Mental Health,4469.79609,95037.50647000001,4.7
30/09/2024,Y56,London,QMJ,North Central London,RRV,University College London Hospitals NHS Foundation Trust,Acute,14335.778,323895.97924,4.43
30/09/2024,Y56,London,QMJ,North Central London,RV3,Central and North West London NHS Foundation Trust,Mental Health,10609.898149999999,246072.22446,4.31
30/09/2024,Y56,London,QMJ,North Central London,TAF,Camden and Islington NHS Foundation Trust,Mental Health,2003.54678,72930.70827,2.75
30/09/2024,Y56,London,QRV,North West London,QRV,NHS North West London ICB,Integrated Care Board,791.90674,22721.64426,3.49
30/09/2024,Y56,London,QRV,North West London,R1K,London North West University Healthcare NHS Trust,Acute,10915.31208,264400.52312,4.13
30/09/2024,Y56,London,QRV,North West London,RAN,Royal National Orthopaedic Hospital NHS Trust,Acute,1907.12914,50249.40833,3.8
30/09/2024,Y56,London,QRV,North West London,RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,5414.75398,103860.95475,5.21
30/09/2024,Y56,London,QRV,North West London,RKL,West London NHS Trust,Mental Health,8085.14017,160863.65533,5.03
30/09/2024,Y56,London,QRV,North West London,RPY,Royal Marsden NHS Foundation Trust,Acute,5047.40798,136815.3725,3.69
