DATE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,ORG_TYPE,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE,SICKNESS_ABSENCE_RATE_PERCENT
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0AR,NHS North of England Commissioning Support Unit,Commissioning Support Unit,1821.64564,52059.31096,3.5
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0CX,NHS Midlands and Lancashire Commissioning Support Unit,Commissioning Support Unit,1687.74003,46772.53313,3.61
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DE,NHS Arden and Greater East Midlands Commissioning Support Unit,Commissioning Support Unit,932.87332,33897.4778,2.75
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DF,"NHS South, Central and West Commissioning Support Unit",Commissioning Support Unit,2308.0565,55258.42301,4.18
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,8JX76,ENGIE Services Ltd,Others,983.15306,20186.00522,4.87
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1150,NHS Resolution,Others,512.14667,23020.45115,2.22
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1450,NHS Business Services Authority,Others,5390.09767,148401.99154,3.63
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1460,NHS Blood and Transplant,Others,9782.63152,179134.98596,5.46
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1480,Health Research Authority,Others,239.58666,7760.76646,3.09
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1540,NHS Counter Fraud Authority,Others,158.22667,5864.59649,2.7
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X24,NHS England,Others,16376.91677,559942.38566,2.92
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X80,National Institute for Health and Care Excellence,Others,698.9815,24082.88046,2.9
31/07/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,Z1E5K,Health Services Safety Investigations Body,Others,43.0,1571.42,2.74
31/07/2024,Y56,London,QKK,South East London,DEQ,King's Facilities Management (KFM),Others,213.93333,10821.36,1.98
31/07/2024,Y56,London,QKK,South East London,NQV,Bromley Healthcare,Community Provider Trust,1431.60708,31886.60126,4.49
31/07/2024,Y56,London,QKK,South East London,QKK,NHS South East London ICB,Integrated Care Board,626.77333,19423.09705,3.23
31/07/2024,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute,32261.3935,688455.39992,4.69
31/07/2024,Y56,London,QKK,South East London,RJ2,Lewisham and Greenwich NHS Trust,Acute,10877.07186,217203.42561,5.01
31/07/2024,Y56,London,QKK,South East London,RJZ,King's College Hospital NHS Foundation Trust,Acute,18694.4851,419258.20489,4.46
31/07/2024,Y56,London,QKK,South East London,RPG,Oxleas NHS Foundation Trust,Mental Health,6662.73495,135831.42609,4.91
31/07/2024,Y56,London,QKK,South East London,RRU,London Ambulance Service NHS Trust,Ambulance,16797.43799,241802.93075,6.95
31/07/2024,Y56,London,QKK,South East London,RV5,South London and Maudsley NHS Foundation Trust,Mental Health,7934.49404,185169.54229,4.28
31/07/2024,Y56,London,QMF,North East London,AXA,Tower Hamlets GP Care Group CIC,Community Provider Trust,330.71493000000004,12444.09506,2.66
31/07/2024,Y56,London,QMF,North East London,QMF,NHS North East London ICB,Integrated Care Board,872.55999,25518.10377,3.42
31/07/2024,Y56,London,QMF,North East London,R1H,Barts Health NHS Trust,Acute,26820.19692,606712.95704,4.42
