DATE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,ORG_TYPE,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE,SICKNESS_ABSENCE_RATE_PERCENT
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0AR,NHS North of England Commissioning Support Unit,Commissioning Support Unit,2335.48715,47854.23534,4.88
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0CX,NHS Midlands and Lancashire Commissioning Support Unit,Commissioning Support Unit,1508.61215,45068.50493,3.35
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DE,NHS Arden and Greater East Midlands Commissioning Support Unit,Commissioning Support Unit,883.19739,34641.20199,2.55
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DF,"NHS South, Central and West Commissioning Support Unit",Commissioning Support Unit,1833.92352,53532.16712,3.43
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,8JX76,ENGIE Services Ltd,Others,1207.93374,20453.73849,5.91
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1150,NHS Resolution,Others,377.76,24934.93823,1.51
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1450,NHS Business Services Authority,Others,6563.7782,158134.42797,4.15
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1460,NHS Blood and Transplant,Others,9779.80298,182236.28101,5.37
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1480,Health Research Authority,Others,316.38656,7603.45323,4.16
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1540,NHS Counter Fraud Authority,Others,195.8856,6621.47729,2.96
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X24,NHS England,Others,17227.37196,568864.28341,3.03
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X80,National Institute for Health and Care Excellence,Others,475.09004999999996,24256.66046,1.96
31/01/2025,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,Z1E5K,Health Services Safety Investigations Body,Others,67.0,1548.1399999999999,4.33
31/01/2025,Y56,London,QKK,South East London,DEQ,King's Facilities Management (KFM),Others,252.8,10703.76,2.36
31/01/2025,Y56,London,QKK,South East London,NQV,Bromley Healthcare,Community Provider Trust,1341.09269,31248.69587,4.29
31/01/2025,Y56,London,QKK,South East London,QKK,NHS South East London ICB,Integrated Care Board,512.37586,20292.122639999998,2.52
31/01/2025,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute,34359.0251,700715.67911,4.9
31/01/2025,Y56,London,QKK,South East London,RJ2,Lewisham and Greenwich NHS Trust,Acute,12051.30027,222484.03071,5.42
31/01/2025,Y56,London,QKK,South East London,RJZ,King's College Hospital NHS Foundation Trust,Acute,19903.04339,414234.28081,4.8
31/01/2025,Y56,London,QKK,South East London,RPG,Oxleas NHS Foundation Trust,Mental Health,7685.58295,140261.7369,5.48
31/01/2025,Y56,London,QKK,South East London,RRU,London Ambulance Service NHS Trust,Ambulance,20877.91215,253052.34995,8.25
31/01/2025,Y56,London,QKK,South East London,RV5,South London and Maudsley NHS Foundation Trust,Mental Health,9184.77819,189778.30461,4.84
31/01/2025,Y56,London,QMF,North East London,AXA,Tower Hamlets GP Care Group CIC,Community Provider Trust,609.44375,13196.10028,4.62
31/01/2025,Y56,London,QMF,North East London,QMF,NHS North East London ICB,Integrated Care Board,1029.1,28138.08277,3.66
31/01/2025,Y56,London,QMF,North East London,R1H,Barts Health NHS Trust,Acute,30029.7635,615932.60654,4.88
31/01/2025,Y56,London,QMF,North East London,RAT,North East London NHS Foundation Trust,Mental Health,12410.37889,231527.01433,5.36
31/01/2025,Y56,London,QMF,North East London,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Acute,13228.88847,257879.00592,5.13
31/01/2025,Y56,London,QMF,North East London,RQX,Homerton Healthcare NHS Foundation Trust,Acute,6579.10496,133126.74353,4.94
31/01/2025,Y56,London,QMF,North East London,RWK,East London NHS Foundation Trust,Mental Health,13027.60798,224473.05702,5.8
31/01/2025,Y56,London,QMJ,North Central London,G6V2S,North London NHS Foundation Trust,Mental Health,8558.93787,182127.68591,4.7
31/01/2025,Y56,London,QMJ,North Central London,QMJ,NHS North Central London ICB,Integrated Care Board,477.24004,18566.21062,2.57
31/01/2025,Y56,London,QMJ,North Central London,RAL,Royal Free London NHS Foundation Trust,Acute,26716.77093,577879.90567,4.62
31/01/2025,Y56,London,QMJ,North Central London,RKE,Whittington Health NHS Trust,Acute,7507.59317,156179.84796,4.81
31/01/2025,Y56,London,QMJ,North Central London,RNK,Tavistock and Portman NHS Foundation Trust,Mental Health,745.90092,21955.88129,3.4
31/01/2025,Y56,London,QMJ,North Central London,RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,Acute,7552.34388,181910.2821,4.15
31/01/2025,Y56,London,QMJ,North Central London,RP6,Moorfields Eye Hospital NHS Foundation Trust,Acute,4206.28078,78602.11135,5.35
31/01/2025,Y56,London,QMJ,North Central London,RRV,University College London Hospitals NHS Foundation Trust,Acute,16725.02473,346038.97507,4.83
31/01/2025,Y56,London,QMJ,North Central London,RV3,Central and North West London NHS Foundation Trust,Mental Health,11168.08321,256343.27995,4.36
31/01/2025,Y56,London,QRV,North West London,QRV,NHS North West London ICB,Integrated Care Board,1004.83665,23150.04781,4.34
31/01/2025,Y56,London,QRV,North West London,R1K,London North West University Healthcare NHS Trust,Acute,14106.94974,278313.8688,5.07
31/01/2025,Y56,London,QRV,North West London,RAN,Royal National Orthopaedic Hospital NHS Trust,Acute,2459.09694,53109.94891,4.63
31/01/2025,Y56,London,QRV,North West London,RAS,Hillingdon Hospitals NHS Foundation Trust,Acute,5935.32293,109275.17497000001,5.43
31/01/2025,Y56,London,QRV,North West London,RKL,West London NHS Trust,Mental Health,9545.6738,168311.16703,5.67
31/01/2025,Y56,London,QRV,North West London,RPY,Royal Marsden NHS Foundation Trust,Acute,6000.21533,143938.28513,4.17
31/01/2025,Y56,London,QRV,North West London,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Acute,8684.71014,222442.55179,3.9
31/01/2025,Y56,London,QRV,North West London,RYJ,Imperial College Healthcare NHS Trust,Acute,20694.81312,443582.32821,4.67
31/01/2025,Y56,London,QRV,North West London,RYX,Central London Community Healthcare NHS Trust,Community Provider Trust,8513.39723,147505.24577,5.77
31/01/2025,Y56,London,QWE,South West London,NNV,Your Healthcare,Community Provider Trust,501.60638,13047.0438,3.84
31/01/2025,Y56,London,QWE,South West London,QWE,NHS South West London ICB,Integrated Care Board,504.98668,18302.17327,2.76
31/01/2025,Y56,London,QWE,South West London,RAX,Kingston and Richmond NHS Foundation Trust,Acute,6490.6098,138362.73971,4.69
31/01/2025,Y56,London,QWE,South West London,RJ6,Croydon Health Services NHS Trust,Acute,8098.42309,137704.19564,5.88
31/01/2025,Y56,London,QWE,South West London,RJ7,St George's University Hospitals NHS Foundation Trust,Acute,16566.2088,314524.70135,5.27
31/01/2025,Y56,London,QWE,South West London,RQY,South West London and St George's Mental Health NHS Trust,Mental Health,4747.03449,92669.60175,5.12
31/01/2025,Y56,London,QWE,South West London,RVR,Epsom and St Helier University Hospitals NHS Trust,Acute,11726.74709,202180.4238,5.8
31/01/2025,Y58,South West,QJK,Devon,NR5,Livewell Southwest,Community Provider Trust,4934.85121,78858.53854,6.26
31/01/2025,Y58,South West,QJK,Devon,QJK,NHS Devon ICB,Integrated Care Board,430.43280999999996,11916.21695,3.61
31/01/2025,Y58,South West,QJK,Devon,RA9,Torbay and South Devon NHS Foundation Trust,Acute,10792.20977,193503.02807,5.58
31/01/2025,Y58,South West,QJK,Devon,RH8,Royal Devon University Healthcare NHS Foundation Trust,Acute,20457.34971,375342.22426,5.45
31/01/2025,Y58,South West,QJK,Devon,RK9,University Hospitals Plymouth NHS Trust,Acute,19384.23103,316406.42257,6.13
31/01/2025,Y58,South West,QJK,Devon,RWV,Devon Partnership NHS Trust,Mental Health,7043.47203,109958.26684,6.41
31/01/2025,Y58,South West,QJK,Devon,RYF,South Western Ambulance Service NHS Foundation Trust,Ambulance,9936.93636,166991.25324,5.95
31/01/2025,Y58,South West,QOX,"Bath and North East Somerset, Swindon and Wiltshire",AXG,Wiltshire Health and Care,Community Provider Trust,2220.0379,33837.12798,6.56
31/01/2025,Y58,South West,QOX,"Bath and North East Somerset, Swindon and Wiltshire",QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",Integrated Care Board,279.13323,10947.51329,2.55
31/01/2025,Y58,South West,QOX,"Bath and North East Somerset, Swindon and Wiltshire",RD1,Royal United Hospitals Bath NHS Foundation Trust,Acute,9514.42479,183240.54723,5.19
31/01/2025,Y58,South West,QOX,"Bath and North East Somerset, Swindon and Wiltshire",RN3,Great Western Hospitals NHS Foundation Trust,Acute,8554.31942,164004.5056,5.22
31/01/2025,Y58,South West,QOX,"Bath and North East Somerset, Swindon and Wiltshire",RNZ,Salisbury NHS Foundation Trust,Acute,6059.7084,127271.37165,4.76
31/01/2025,Y58,South West,QOX,"Bath and North East Somerset, Swindon and Wiltshire",RVN,Avon and Wiltshire Mental Health Partnership NHS Trust,Mental Health,7618.1441,145140.27473,5.25
31/01/2025,Y58,South West,QR1,Gloucestershire,QR1,NHS Gloucestershire ICB,Integrated Care Board,351.88336,12091.4531,2.91
31/01/2025,Y58,South West,QR1,Gloucestershire,RTE,Gloucestershire Hospitals NHS Foundation Trust,Acute,13251.63779,275793.79474,4.8
31/01/2025,Y58,South West,QR1,Gloucestershire,RTQ,Gloucestershire Health and Care NHS Foundation Trust,Mental Health,7580.89517,132389.18447,5.73
31/01/2025,Y58,South West,QSL,Somerset,QSL,NHS Somerset ICB,Integrated Care Board,397.81334,9497.80128,4.19
31/01/2025,Y58,South West,QSL,Somerset,RH5,Somerset NHS Foundation Trust,Acute,21310.28527,374268.44823,5.69
31/01/2025,Y58,South West,QT6,Cornwall and the Isles of Scilly,AWK,Smile Together Dental CIC,Community Provider Trust,134.69998,2788.1133099999997,4.83
31/01/2025,Y58,South West,QT6,Cornwall and the Isles of Scilly,QT6,NHS Cornwall and the Isles of Scilly ICB,Integrated Care Board,407.90659,8820.94149,4.62
31/01/2025,Y58,South West,QT6,Cornwall and the Isles of Scilly,REF,Royal Cornwall Hospitals NHS Trust,Acute,11273.9,213768.71982,5.27
