DATE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,ORG_TYPE,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE,SICKNESS_ABSENCE_RATE_PERCENT
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0AR,NHS North of England Commissioning Support Unit,Commissioning Support Unit,2496.66715,48590.11535,5.14
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0CX,NHS Midlands and Lancashire Commissioning Support Unit,Commissioning Support Unit,1606.19335,45272.12488,3.55
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DE,NHS Arden and Greater East Midlands Commissioning Support Unit,Commissioning Support Unit,918.8600299999999,34645.24464,2.65
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,0DF,"NHS South, Central and West Commissioning Support Unit",Commissioning Support Unit,1700.52768,53597.78003,3.17
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,8JX76,ENGIE Services Ltd,Others,1130.46037,20370.10859,5.55
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1150,NHS Resolution,Others,545.86667,24927.71151,2.19
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1450,NHS Business Services Authority,Others,5725.37398,156665.79796,3.65
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1460,NHS Blood and Transplant,Others,9868.82473,181655.56632,5.43
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1480,Health Research Authority,Others,317.47992,7509.29323,4.23
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,T1540,NHS Counter Fraud Authority,Others,182.0,6680.17066,2.72
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X24,NHS England,Others,16963.98858,568767.03363,2.98
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,X80,National Institute for Health and Care Excellence,Others,578.61079,24128.79379,2.4
31/12/2024,QZZ,Special Health Authorities and other statutory bodies,QZZ,Special Health Authorities and other statutory bodies,Z1E5K,Health Services Safety Investigations Body,Others,64.86667,1566.74,4.14
31/12/2024,Y56,London,QKK,South East London,DEQ,King's Facilities Management (KFM),Others,248.0,10638.96,2.33
31/12/2024,Y56,London,QKK,South East London,NQV,Bromley Healthcare,Community Provider Trust,1367.82513,31368.02529,4.36
31/12/2024,Y56,London,QKK,South East London,QKK,NHS South East London ICB,Integrated Care Board,444.45343,21074.94921,2.11
31/12/2024,Y56,London,QKK,South East London,RJ1,Guy's and St Thomas' NHS Foundation Trust,Acute,35003.17666,699248.70619,5.01
31/12/2024,Y56,London,QKK,South East London,RJ2,Lewisham and Greenwich NHS Trust,Acute,12363.25964,222141.10299,5.57
31/12/2024,Y56,London,QKK,South East London,RJZ,King's College Hospital NHS Foundation Trust,Acute,19591.8377,414223.51777,4.73
31/12/2024,Y56,London,QKK,South East London,RPG,Oxleas NHS Foundation Trust,Mental Health,7350.93519,139341.81131,5.28
31/12/2024,Y56,London,QKK,South East London,RRU,London Ambulance Service NHS Trust,Ambulance,20939.11515,252691.53639999998,8.29
31/12/2024,Y56,London,QKK,South East London,RV5,South London and Maudsley NHS Foundation Trust,Mental Health,8798.57153,189132.95664,4.65
31/12/2024,Y56,London,QMF,North East London,AXA,Tower Hamlets GP Care Group CIC,Community Provider Trust,587.13942,13188.89986,4.45
31/12/2024,Y56,London,QMF,North East London,QMF,NHS North East London ICB,Integrated Care Board,987.1,28021.87087,3.52
31/12/2024,Y56,London,QMF,North East London,R1H,Barts Health NHS Trust,Acute,29117.17505,616954.48821,4.72
31/12/2024,Y56,London,QMF,North East London,RAT,North East London NHS Foundation Trust,Mental Health,12413.54022,229598.71121,5.41
31/12/2024,Y56,London,QMF,North East London,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",Acute,12747.75117,256459.99086,4.97
31/12/2024,Y56,London,QMF,North East London,RQX,Homerton Healthcare NHS Foundation Trust,Acute,6698.6858,133508.93832,5.02
31/12/2024,Y56,London,QMF,North East London,RWK,East London NHS Foundation Trust,Mental Health,12949.7184,225595.68905,5.74
31/12/2024,Y56,London,QMJ,North Central London,G6V2S,North London NHS Foundation Trust,Mental Health,8390.61559,180784.16282,4.64
31/12/2024,Y56,London,QMJ,North Central London,QMJ,NHS North Central London ICB,Integrated Care Board,524.87999,18358.89739,2.86
31/12/2024,Y56,London,QMJ,North Central London,RAL,Royal Free London NHS Foundation Trust,Acute,27218.49874,578237.97229,4.71
31/12/2024,Y56,London,QMJ,North Central London,RKE,Whittington Health NHS Trust,Acute,7864.32778,155249.24319,5.07
31/12/2024,Y56,London,QMJ,North Central London,RNK,Tavistock and Portman NHS Foundation Trust,Mental Health,717.38349,21921.69008,3.27
31/12/2024,Y56,London,QMJ,North Central London,RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,Acute,7302.35174,180731.75261,4.04
31/12/2024,Y56,London,QMJ,North Central London,RP6,Moorfields Eye Hospital NHS Foundation Trust,Acute,3805.59422,78253.73049,4.86
31/12/2024,Y56,London,QMJ,North Central London,RRV,University College London Hospitals NHS Foundation Trust,Acute,16918.04652,344137.58559,4.92
31/12/2024,Y56,London,QMJ,North Central London,RV3,Central and North West London NHS Foundation Trust,Mental Health,12124.36929,256296.12319,4.73
31/12/2024,Y56,London,QRV,North West London,QRV,NHS North West London ICB,Integrated Care Board,1014.14671,23150.32791,4.38
