"OrganisationCode","CanonicalOrganisationName","OrganisationType","RegionCode","RegionName","ICSCode","ICSName","ValidFromMonth","ValidToMonth","StableAllThreeMonths","InclusionFlag","ReportingCohort","ObservedAliases","MappingStatus","ReviewNote"
"RTD","Newcastle Upon Tyne Hospitals NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QHM","North East and North Cumbria","2024-04-30","2025-03-31","True","False","National stable reference","Newcastle Upon Tyne Hospitals NHS Foundation Trust","Approved",""
"RTE","Gloucestershire Hospitals NHS Foundation Trust","Acute","Y58","South West","QR1","Gloucestershire","2024-04-30","2025-03-31","True","False","National stable reference","Gloucestershire Hospitals NHS Foundation Trust","Approved",""
"RTF","Northumbria Healthcare NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QHM","North East and North Cumbria","2024-04-30","2025-03-31","True","False","National stable reference","Northumbria Healthcare NHS Foundation Trust","Approved",""
"RTG","University Hospitals of Derby and Burton NHS Foundation Trust","Acute","Y60","Midlands","QJ2","Derby and Derbyshire","2024-04-30","2025-03-31","True","False","National stable reference","University Hospitals of Derby and Burton NHS Foundation Trust","Approved",""
"RTH","Oxford University Hospitals NHS Foundation Trust","Acute","Y59","South East","QU9","Buckinghamshire, Oxfordshire and Berkshire West","2024-04-30","2025-03-31","True","False","National stable reference","Oxford University Hospitals NHS Foundation Trust","Approved",""
"RTK","Ashford and St. Peter's Hospitals NHS Foundation Trust","Acute","Y59","South East","QXU","Surrey Heartlands","2024-04-30","2025-03-31","True","False","National stable reference","Ashford and St. Peter's Hospitals NHS Foundation Trust","Approved",""
"RTP","Surrey and Sussex Healthcare NHS Trust","Acute","Y59","South East","QXU","Surrey Heartlands","2024-04-30","2025-03-31","True","False","National stable reference","Surrey and Sussex Healthcare NHS Trust","Approved",""
"RTQ","Gloucestershire Health and Care NHS Foundation Trust","Mental Health","Y58","South West","QR1","Gloucestershire","2024-04-30","2025-03-31","True","False","National stable reference","Gloucestershire Health and Care NHS Foundation Trust","Approved",""
"RTR","South Tees Hospitals NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QHM","North East and North Cumbria","2024-04-30","2025-03-31","True","False","National stable reference","South Tees Hospitals NHS Foundation Trust","Approved",""
"RTX","University Hospitals of Morecambe Bay NHS Foundation Trust","Acute","Y62","North West","QE1","Lancashire and South Cumbria","2024-04-30","2025-03-31","True","False","National stable reference","University Hospitals of Morecambe Bay NHS Foundation Trust","Approved",""
"RV9","Humber Teaching NHS Foundation Trust","Mental Health","Y63","North East and Yorkshire","QOQ","Humber and North Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Humber Teaching NHS Foundation Trust","Approved",""
"RVJ","North Bristol NHS Trust","Acute","Y58","South West","QUY","Bristol, North Somerset and South Gloucestershire","2024-04-30","2025-03-31","True","False","National stable reference","North Bristol NHS Trust","Approved",""
"RVR","Epsom and St Helier University Hospitals NHS Trust","Acute","Y56","London","QWE","South West London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Epsom and St Helier University Hospitals NHS Trust","Approved",""
"RVV","East Kent Hospitals University NHS Foundation Trust","Acute","Y59","South East","QKS","Kent and Medway","2024-04-30","2025-03-31","True","False","National stable reference","East Kent Hospitals University NHS Foundation Trust","Approved",""
"RVW","North Tees and Hartlepool NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QHM","North East and North Cumbria","2024-04-30","2025-03-31","True","False","National stable reference","North Tees and Hartlepool NHS Foundation Trust","Approved",""
"RW1","Hampshire and Isle of Wight Healthcare NHS Foundation Trust","Mental Health","Y59","South East","QRL","Hampshire and Isle of Wight","2024-04-30","2025-03-31","True","False","National stable reference","Southern Health NHS Foundation Trust; Hampshire and Isle of Wight Healthcare NHS Foundation Trust","Approved alias history","Published organisation name changed during the reporting window."
"RW4","Mersey Care NHS Foundation Trust","Mental Health","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Mersey Care NHS Foundation Trust","Approved",""
"RWA","Hull University Teaching Hospitals NHS Trust","Acute","Y63","North East and Yorkshire","QOQ","Humber and North Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Hull University Teaching Hospitals NHS Trust","Approved",""
"RWD","United Lincolnshire Teaching Hospitals NHS Trust","Acute","Y60","Midlands","QJM","Lincolnshire","2024-04-30","2025-03-31","True","False","National stable reference","United Lincolnshire Hospitals NHS Trust; United Lincolnshire Teaching Hospitals NHS Trust","Approved alias history","Published organisation name changed during the reporting window."
"RWE","University Hospitals of Leicester NHS Trust","Acute","Y60","Midlands","QK1","Leicester, Leicestershire and Rutland","2024-04-30","2025-03-31","True","False","National stable reference","University Hospitals of Leicester NHS Trust","Approved",""
"RWF","Maidstone and Tunbridge Wells NHS Trust","Acute","Y59","South East","QKS","Kent and Medway","2024-04-30","2025-03-31","True","False","National stable reference","Maidstone and Tunbridge Wells NHS Trust","Approved",""
"RWG","West Hertfordshire Teaching Hospitals NHS Trust","Acute","Y61","East of England","QM7","Hertfordshire and West Essex","2024-04-30","2025-03-31","True","False","National stable reference","West Hertfordshire Teaching Hospitals NHS Trust","Approved",""
"RWH","East and North Hertfordshire NHS Trust","Acute","Y61","East of England","QM7","Hertfordshire and West Essex","2024-04-30","2025-03-31","True","False","National stable reference","East and North Hertfordshire NHS Trust","Approved",""
"RWJ","Stockport NHS Foundation Trust","Acute","Y62","North West","QOP","Greater Manchester","2024-04-30","2025-03-31","True","False","National stable reference","Stockport NHS Foundation Trust","Approved",""
"RWP","Worcestershire Acute Hospitals NHS Trust","Acute","Y60","Midlands","QGH","Herefordshire and Worcestershire","2024-04-30","2025-03-31","True","False","National stable reference","Worcestershire Acute Hospitals NHS Trust","Approved",""
"RWW","Warrington and Halton Teaching Hospitals NHS Foundation Trust","Acute","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Warrington and Halton Teaching Hospitals NHS Foundation Trust","Approved",""
"RWX","Berkshire Healthcare NHS Foundation Trust","Mental Health","Y59","South East","QNQ","Frimley","2024-04-30","2025-03-31","True","False","National stable reference","Berkshire Healthcare NHS Foundation Trust","Approved",""
"RWY","Calderdale and Huddersfield NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QWO","West Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Calderdale and Huddersfield NHS Foundation Trust","Approved",""
"RX1","Nottingham University Hospitals NHS Trust","Acute","Y60","Midlands","QT1","Nottingham and Nottinghamshire","2024-04-30","2025-03-31","True","False","National stable reference","Nottingham University Hospitals NHS Trust","Approved",""
"RXC","East Sussex Healthcare NHS Trust","Acute","Y59","South East","QNX","Sussex","2024-04-30","2025-03-31","True","False","National stable reference","East Sussex Healthcare NHS Trust","Approved",""
"RXF","Mid Yorkshire Teaching NHS Trust","Acute","Y63","North East and Yorkshire","QWO","West Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Mid Yorkshire Teaching NHS Trust","Approved",""
"RXG","South West Yorkshire Partnership NHS Foundation Trust","Mental Health","Y63","North East and Yorkshire","QWO","West Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","South West Yorkshire Partnership NHS Foundation Trust","Approved",""
"RXK","Sandwell and West Birmingham Hospitals NHS Trust","Acute","Y60","Midlands","QHL","Birmingham and Solihull","2024-04-30","2025-03-31","True","False","National stable reference","Sandwell and West Birmingham Hospitals NHS Trust","Approved",""
"RXL","Blackpool Teaching Hospitals NHS Foundation Trust","Acute","Y62","North West","QE1","Lancashire and South Cumbria","2024-04-30","2025-03-31","True","False","National stable reference","Blackpool Teaching Hospitals NHS Foundation Trust","Approved",""
"RXN","Lancashire Teaching Hospitals NHS Foundation Trust","Acute","Y62","North West","QE1","Lancashire and South Cumbria","2024-04-30","2025-03-31","True","False","National stable reference","Lancashire Teaching Hospitals NHS Foundation Trust","Approved",""
"RXP","County Durham and Darlington NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QHM","North East and North Cumbria","2024-04-30","2025-03-31","True","False","National stable reference","County Durham and Darlington NHS Foundation Trust","Approved",""
"RXQ","Buckinghamshire Healthcare NHS Trust","Acute","Y59","South East","QU9","Buckinghamshire, Oxfordshire and Berkshire West","2024-04-30","2025-03-31","True","False","National stable reference","Buckinghamshire Healthcare NHS Trust","Approved",""
"RXR","East Lancashire Hospitals NHS Trust","Acute","Y62","North West","QE1","Lancashire and South Cumbria","2024-04-30","2025-03-31","True","False","National stable reference","East Lancashire Hospitals NHS Trust","Approved",""
