"OrganisationCode","CanonicalOrganisationName","OrganisationType","RegionCode","RegionName","ICSCode","ICSName","ValidFromMonth","ValidToMonth","StableAllThreeMonths","InclusionFlag","ReportingCohort","ObservedAliases","MappingStatus","ReviewNote"
"RH8","Royal Devon University Healthcare NHS Foundation Trust","Acute","Y58","South West","QJK","Devon","2024-04-30","2025-03-31","True","False","National stable reference","Royal Devon University Healthcare NHS Foundation Trust","Approved",""
"RHM","University Hospital Southampton NHS Foundation Trust","Acute","Y59","South East","QRL","Hampshire and Isle of Wight","2024-04-30","2025-03-31","True","False","National stable reference","University Hospital Southampton NHS Foundation Trust","Approved",""
"RHQ","Sheffield Teaching Hospitals NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QF7","South Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Sheffield Teaching Hospitals NHS Foundation Trust","Approved",""
"RHU","Portsmouth Hospitals University NHS Trust","Acute","Y59","South East","QRL","Hampshire and Isle of Wight","2024-04-30","2025-03-31","True","False","National stable reference","Portsmouth Hospitals University NHS Trust","Approved",""
"RHW","Royal Berkshire NHS Foundation Trust","Acute","Y59","South East","QU9","Buckinghamshire, Oxfordshire and Berkshire West","2024-04-30","2025-03-31","True","False","National stable reference","Royal Berkshire NHS Foundation Trust","Approved",""
"RJ1","Guy's and St Thomas' NHS Foundation Trust","Acute","Y56","London","QKK","South East London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Guy's and St Thomas' NHS Foundation Trust","Approved",""
"RJ2","Lewisham and Greenwich NHS Trust","Acute","Y56","London","QKK","South East London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Lewisham and Greenwich NHS Trust","Approved",""
"RJ6","Croydon Health Services NHS Trust","Acute","Y56","London","QWE","South West London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Croydon Health Services NHS Trust","Approved",""
"RJ7","St George's University Hospitals NHS Foundation Trust","Acute","Y56","London","QWE","South West London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","St George's University Hospitals NHS Foundation Trust","Approved",""
"RJ8","Cornwall Partnership NHS Foundation Trust","Mental Health","Y58","South West","QT6","Cornwall and the Isles of Scilly","2024-04-30","2025-03-31","True","False","National stable reference","Cornwall Partnership NHS Foundation Trust","Approved",""
"RJC","South Warwickshire University NHS Foundation Trust","Acute","Y60","Midlands","QWU","Coventry and Warwickshire","2024-04-30","2025-03-31","True","False","National stable reference","South Warwickshire University NHS Foundation Trust","Approved",""
"RJE","University Hospitals of North Midlands NHS Trust","Acute","Y60","Midlands","QNC","Staffordshire and Stoke-on-Trent","2024-04-30","2025-03-31","True","False","National stable reference","University Hospitals of North Midlands NHS Trust","Approved",""
"RJL","Northern Lincolnshire and Goole NHS Foundation Trust","Acute","Y63","North East and Yorkshire","QOQ","Humber and North Yorkshire","2024-04-30","2025-03-31","True","False","National stable reference","Northern Lincolnshire and Goole NHS Foundation Trust","Approved",""
"RJN","East Cheshire NHS Trust","Acute","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","East Cheshire NHS Trust","Approved",""
"RJR","Countess of Chester Hospital NHS Foundation Trust","Acute","Y62","North West","QYG","Cheshire and Merseyside","2024-04-30","2025-03-31","True","False","National stable reference","Countess of Chester Hospital NHS Foundation Trust","Approved",""
"RJZ","King's College Hospital NHS Foundation Trust","Acute","Y56","London","QKK","South East London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","King's College Hospital NHS Foundation Trust","Approved",""
"RK5","Sherwood Forest Hospitals NHS Foundation Trust","Acute","Y60","Midlands","QT1","Nottingham and Nottinghamshire","2024-04-30","2025-03-31","True","False","National stable reference","Sherwood Forest Hospitals NHS Foundation Trust","Approved",""
"RK9","University Hospitals Plymouth NHS Trust","Acute","Y58","South West","QJK","Devon","2024-04-30","2025-03-31","True","False","National stable reference","University Hospitals Plymouth NHS Trust","Approved",""
"RKB","University Hospitals Coventry and Warwickshire NHS Trust","Acute","Y60","Midlands","QWU","Coventry and Warwickshire","2024-04-30","2025-03-31","True","False","National stable reference","University Hospitals Coventry and Warwickshire NHS Trust","Approved",""
"RKE","Whittington Health NHS Trust","Acute","Y56","London","QMJ","North Central London","2024-04-30","2025-03-31","True","True","London stable 20-provider cohort","Whittington Health NHS Trust","Approved",""
"RL1","Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","Acute","Y60","Midlands","QOC","Shropshire, Telford and Wrekin","2024-04-30","2025-03-31","True","False","National stable reference","Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust","Approved",""
